EP011977,                AVA,     19,
19770815, 0600,  , HU, 21.9N, 110.2W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770815, 1200,  , HU, 22.7N, 110.5W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770815, 1800,  , HU, 23.6N, 110.8W,  65,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770816, 0000,  , HU, 25.0N, 112.0W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770816, 0600,  , TS, 26.4N, 113.2W,  50, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770816, 1200,  , TS, 27.7N, 114.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770816, 1800,  , TS, 28.8N, 115.8W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770817, 0000,  , TS, 29.9N, 116.6W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770817, 0600,  , TD, 30.7N, 117.0W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770817, 1200,  , TD, 31.4N, 117.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770817, 1800,  , TD, 32.2N, 118.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770818, 0000,  , TD, 33.0N, 118.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP051977,              EMILY,      7,
19770913, 0000,  , TD, 14.0N, 118.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770913, 0600,  , TD, 15.0N, 120.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770913, 1200,  , TS, 16.0N, 121.0W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770913, 1800,  , TS, 17.1N, 121.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770914, 0000,  , TS, 18.2N, 122.5W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770914, 0600,  , TS, 19.0N, 122.9W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770914, 1200,  , EX, 19.5N, 123.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP061977,           FLORENCE,     17,
19770920, 1200,  , TD, 13.9N, 124.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770920, 1800,  , TD, 14.1N, 124.3W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770921, 0000,  , TS, 14.4N, 124.8W,  35, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770921, 0600,  , TS, 14.6N, 125.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770921, 1200,  , TS, 14.9N, 126.3W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770921, 1800,  , TS, 15.1N, 126.9W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770922, 0000,  , HU, 15.8N, 127.8W,  65, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770922, 0600,  , HU, 16.4N, 128.1W,  70, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19770922, 1200,  , HU, 17.2N, 127.7W,  80, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
