EP011953,            UNNAMED,      9,
19530914, 0600,  , HU, 18.5N, 108.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530914, 1200,  , HU, 19.2N, 108.9W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530914, 1800,  , HU, 19.5N, 108.9W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530915, 0000,  , HU, 19.8N, 108.9W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530915, 0600,  , HU, 20.3N, 108.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530915, 1200,  , HU, 20.7N, 108.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530915, 1800,  , HU, 21.1N, 108.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530916, 0000,  , HU, 21.6N, 108.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530916, 0600,  , HU, 21.9N, 108.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530916, 1200,  , HU, 22.3N, 108.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530916, 1800,  , HU, 22.8N, 108.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19530917, 0000,  , HU, 23.3N, 108.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP041953,            UNNAMED,     25,
19531002, 0000,  , HU, 13.9N, 101.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531002, 0600,  , HU, 14.5N, 102.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531002, 1200,  , HU, 15.0N, 102.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531002, 1800,  , HU, 15.7N, 103.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531003, 0000,  , HU, 16.3N, 103.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531003, 0600,  , HU, 17.0N, 104.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531003, 1200,  , HU, 17.7N, 105.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531003, 1800,  , HU, 18.3N, 105.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531004, 0000,  , HU, 18.9N, 106.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531004, 0600,  , HU, 19.3N, 106.9W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531004, 1200,  , HU, 19.5N, 107.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531004, 1800,  , HU, 19.6N, 108.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531005, 0000,  , HU, 19.8N, 109.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531005, 0600,  , HU, 19.9N, 110.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531005, 1200,  , HU, 20.1N, 111.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531005, 1800,  , HU, 20.2N, 111.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531006, 0000,  , HU, 20.3N, 112.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531006, 0600,  , HU, 20.4N, 112.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531006, 1200,  , HU, 20.5N, 113.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531006, 1800,  , HU, 20.4N, 113.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531007, 0000,  , HU, 20.3N, 113.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531007, 0600,  , HU, 20.2N, 114.3W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531007, 1200,  , HU, 20.1N, 114.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531007, 1800,  , HU, 20.0N, 115.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19531008, 0000,  , HU, 19.8N, 115.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
