EP011949,            UNNAMED,      7,
19500821, 1200,  , TD, 27.4N, 178.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP041950,            UNNAMED,      5,
19500812, 1200,  , TS, 17.5N, 116.8W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500812, 1800,  , TS, 17.7N, 116.8W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500813, 0000,  , TD, 18.0N, 117.1W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500813, 0600,  , TD, 18.4N, 117.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500813, 1200,  , TD, 18.8N, 118.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP051950,            UNNAMED,     17,
19500826, 1200,  , HU, 17.3N, 131.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500826, 1800,  , HU, 17.7N, 132.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500827, 0000,  , HU, 17.9N, 133.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500827, 0600,  , HU, 17.9N, 133.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500827, 1200,  , HU, 18.0N, 134.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500827, 1800,  , HU, 18.1N, 135.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500828, 0000,  , HU, 18.3N, 135.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500828, 0600,  , HU, 18.5N, 136.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
